,0,500,1000,1500,2000,3000,4000,5000,10000,20000,30000,50000,1.00E+05
Bluethroat_Wrasse,NA,46,63,72,75,81,85,88,93,96,98,99,99
Harlequin,NA,50,64,73,77,83,86,89,94,97,98,99,99
Silver_Trevally,NA,39,52,61,64,72,77,81,89,94,96,98,99
Snapper,NA,28,31,34,35,39,43,47,60,73,80,87,93
Western_Blue_Groper,NA,9,23,36,43,55,63,69,82,90,93,96,98
Yellowtail_Kingfish,NA,37,43,47,51,56,61,64,76,85,90,93,97
Southern_Eagle_Ray,NA,19,21,24,26,30,34,38,52,68,76,84,91
Bronze_Whaler,NA,1,1,1,1,2,2,2,4,9,14,23,38
Dusky_Whaler,NA,1,1,1,1,1,2,2,2,4,6,10,20
White_Shark,NA,1,3,5,7,11,14,17,32,53,64,75,86
