0.05,X0.1,X500.1,X1000.1,X1500.1,X2000.1,X3000.1,X4000.1,X5000.1,X10000.1,X20000.1,X30000.1,X50000.1,X1e.05.1,0.2,X500.2,X1000.2,X1500.2,X2000.2,X3000.2,X4000.2,X5000.2,X10000.2,X20000.2,X30000.2,X50000.2,X1e.05.2,0.5,X500.3,X1000.3,X1500.3,X2000.3,X3000.3,X4000.3,X5000.3,X10000.3,X20000.3,X30000.3,X50000.3,X1e.05.3,1,X500.4,X1000.4,X1500.4,X2000.4,X3000.4,X4000.4,X5000.4,X10000.4,X20000.4,X30000.4,X50000.4,X1e.05.4
Bluethroat_Wrasse,NA,9,10,13,11,10,9,8,5,3,2,1,1,NA,15,28,32,31,27,24,22,15,8,6,4,2,NA,10,31,42,44,39,36,31,21,12,8,5,3,NA,8,25,41,47,43,39,34,22,13,9,5,3
Harlequin,NA,18,29,32,30,27,23,21,13,7,5,3,2,NA,14,34,47,48,41,38,32,20,12,8,5,3,NA,12,27,43,49,44,39,34,21,12,9,5,3,NA,12,24,40,48,43,39,34,21,12,9,5,3
Silver_Trevally,NA,6,17,25,29,31,30,28,20,13,9,6,3,NA,0,6,22,30,42,45,40,29,18,13,9,5,NA,0,1,17,26,41,48,44,30,19,14,9,5,NA,0,0,15,25,40,49,45,31,19,14,9,5
Snapper,NA,1,2,3,5,8,9,12,20,21,19,15,9,NA,0,0,1,2,3,6,9,23,34,31,24,15,NA,0,0,0,1,2,4,5,19,36,32,25,16,NA,0,0,0,1,2,3,5,17,36,32,26,16
Western_Blue_Groper,NA,5,17,25,31,33,32,29,20,12,9,6,3,NA,2,8,19,27,41,41,38,27,16,11,7,4,NA,2,6,15,22,39,42,39,27,16,12,8,4,NA,2,5,13,20,36,41,38,27,16,12,8,4
Yellowtail_Kingfish,NA,3,5,8,9,10,11,13,13,12,10,7,4,NA,3,7,12,15,21,25,29,35,29,24,18,10,NA,0,3,9,13,20,26,31,45,39,32,23,14,NA,0,1,7,10,18,24,29,45,42,34,25,15
Southern_Eagle_Ray,NA,1,3,4,4,8,10,11,17,17,15,12,8,NA,0,2,3,4,7,10,13,26,34,31,24,15,NA,0,1,2,3,5,8,10,20,38,34,26,17,NA,0,1,2,3,5,7,9,17,37,33,26,17
Bronze_Whaler,NA,0,0,1,0,1,1,2,4,8,11,16,22,NA,0,0,0,0,0,0,1,2,6,11,19,32,NA,0,0,0,0,0,0,0,1,5,9,16,29,NA,0,0,0,0,0,0,0,1,4,8,15,28
Dusky_Whaler,NA,0,0,0,0,1,1,1,2,3,5,8,15,NA,0,0,0,0,0,0,0,1,2,3,5,13,NA,0,0,0,0,0,0,0,1,2,3,5,10,NA,0,0,0,0,0,0,0,1,2,3,5,10
White_Shark,NA,1,3,6,7,11,14,17,29,40,36,28,18,NA,0,1,4,5,8,11,14,24,47,47,37,23,NA,0,1,3,5,8,11,13,23,45,50,38,24,NA,0,1,3,5,8,11,13,22,44,50,39,24
0.2,X0.1,X500.2,X1000.2,X1500.2,X2000.2,X3000.2,X4000.2,X5000.2,X10000.2,X20000.2,X30000.2,X50000.2,X1e.05.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluethroat_Wrasse,NA,15,28,32,31,27,24,22,15,8,6,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harlequin,NA,14,34,47,48,41,38,32,20,12,8,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver_Trevally,NA,0,6,22,30,42,45,40,29,18,13,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapper,NA,0,0,1,2,3,6,9,23,34,31,24,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western_Blue_Groper,NA,2,8,19,27,41,41,38,27,16,11,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellowtail_Kingfish,NA,3,7,12,15,21,25,29,35,29,24,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern_Eagle_Ray,NA,0,2,3,4,7,10,13,26,34,31,24,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronze_Whaler,NA,0,0,0,0,0,0,1,2,6,11,19,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dusky_Whaler,NA,0,0,0,0,0,0,0,1,2,3,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White_Shark,NA,0,1,4,5,8,11,14,24,47,47,37,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
