"","X0.1","X500.1","X1000.1","X1500.1","X2000.1","X3000.1","X4000.1","X5000.1","X10000.1","X20000.1","X30000.1","X50000.1","X1e.05.1","X0.2","X500.2","X1000.2","X1500.2","X2000.2","X3000.2","X4000.2","X5000.2","X10000.2","X20000.2","X30000.2","X50000.2","X1e.05.2","X0.3","X500.3","X1000.3","X1500.3","X2000.3","X3000.3","X4000.3","X5000.3","X10000.3","X20000.3","X30000.3","X50000.3","X1e.05.3","X0.4","X500.4","X1000.4","X1500.4","X2000.4","X3000.4","X4000.4","X5000.4","X10000.4","X20000.4","X30000.4","X50000.4","X1e.05.4"
"Bluethroat_Wrasse",NA,12,9,6,5,4,3,3,2,1,1,0,0,NA,18,14,11,10,7,6,5,3,1,1,1,0,NA,8,8,7,7,4,4,3,2,1,1,0,0,NA,2,5,5,4,3,2,2,1,0,0,0,0
"Harlequin",NA,48,34,26,23,17,14,11,6,3,2,1,1,NA,36,30,23,21,16,12,11,6,3,2,1,1,NA,11,18,15,13,10,8,6,4,2,1,1,0,NA,4,12,11,10,8,6,5,3,1,1,1,0
"Silver_Trevally",NA,60,51,42,37,29,24,21,12,6,4,3,1,NA,38,46,39,34,28,23,21,13,7,5,3,1,NA,8,22,19,18,14,12,11,8,5,3,2,1,NA,0,9,10,8,7,5,5,5,3,2,1,1
"Snapper",NA,56,55,54,53,51,48,46,35,24,18,12,6,NA,28,30,33,34,36,38,38,35,26,19,13,7,NA,2,3,5,6,8,10,13,17,16,12,8,4,NA,0,0,1,1,1,2,4,8,10,7,5,3
"Western_Blue_Groper",NA,44,39,33,30,24,19,17,10,5,3,2,1,NA,7,15,17,15,12,10,9,5,3,2,1,1,NA,0,4,8,9,7,6,5,3,1,1,1,0,NA,0,2,5,6,5,4,4,2,1,1,0,0
"Yellowtail_Kingfish",NA,22,20,18,17,15,14,12,9,5,4,2,1,NA,27,27,26,25,23,22,20,15,9,7,4,2,NA,6,8,9,9,9,9,9,9,7,5,3,2,NA,0,2,3,3,3,3,3,5,4,3,2,1
"Southern_Eagle_Ray",NA,38,37,36,35,33,31,30,23,15,11,8,4,NA,18,19,20,21,22,23,24,23,16,12,8,4,NA,1,1,2,2,3,5,6,12,10,8,5,3,NA,0,0,0,0,1,1,1,6,7,6,4,2
"Bronze_Whaler",NA,14,14,14,14,14,14,14,14,13,13,12,9,NA,1,1,1,1,1,1,2,2,3,3,3,4,NA,0,0,0,0,0,0,0,0,1,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,1
"Dusky_Whaler",NA,23,23,23,23,23,23,23,23,24,23,23,21,NA,1,1,1,1,1,1,1,2,2,3,4,7,NA,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,1
"White_Shark",NA,26,27,27,27,27,27,26,23,16,13,9,5,NA,1,2,2,2,2,3,3,8,6,5,4,2,NA,0,0,0,1,0,0,1,2,2,2,1,1,NA,0,0,0,0,0,0,0,1,1,1,1,1
